"Codice_Amministrazione","Descrizione_Amministrazione","Codice_Genere","Aggiornamento_Amministrazione","Utente_Amministrazione"
50,"Parco nazionale del Cilento e Vallo di Diano",0,,
51,"INFN",0,,
52,"Ente nazionale Parco Cinque Terre",0,,
54,"ANAS S.p.A.",0,,
55,"Ministero dello sviluppo economico - Commissario ad acta",0,,
56,"UNIVERSITA' DEL MOLISE",0,,
57,"NARS",0,,
58,"UNIVERSITA' DI GENOVA",0,,
59,"Ministero della Salute",0,,
60,"Università della Tuscia",0,,
61,"INFN - ISTITUTO NAZIONALE DI FISICA NUCLEARE",0,,
62,"IPOST Istituto postetelegrafonici",0,,
63,"Autorità portuale della Spezia",0,,
65,"Ente Parco Nazionale del Pollino",0,,
1,"Presidenza del Consiglio dei Ministri",1,,
2,"Ministero degli Affari Esteri",1,,
3,"Ministero dell'Economia e delle Finanze",1,,
4,"Ministero dell'Interno",1,,
5,"Ministero Giustizia",1,,
6,"Ministero della Difesa",1,,
7,"Ministero dello Sviluppo Economico",1,,
8,"Ministero del Lavoro Politiche Sociali",1,,
9,"Ministero Beni e Attività Culturali e Turismo",1,,
10,"Ministero Ambiente, Tutela del Territorio e del Mare",1,,
11,"Ministero Politiche Agricole, Alimentari e Forestali",1,,
12,"Ministero Infrastrutture e Trasporti",1,,
13,"Ministero Istruzione Università e Ricerca",1,,
14,"Dipartimento Politiche Europee",2,,
15,"Dipartimento Rapporti con le Regioni",2,,
16,"Dipartimento Pubblica Amministrazione e l'Innovazione",2,,
17,"Dipartimento Pari Oppotunità",2,,
18,"Dipartimento Rapporti con il Parlamento",2,,
19,"Dipartimento Riforme per il Federalismo",2,,
20,"Dipartimento Politiche per i Giovani",2,,
21,"Dipartimento Semplificazione Normativa",2,,
22,"Dipartimento Attuazione del Programma",2,,
23,"Banca d'Italia",4,,
24,"Ragioneria Generale dello Stato",4,,
26,"ISTAT",4,,
27,"Regione Campania",3,,
28,"Regione Piemonte",3,,
29,"Regione Liguria",3,,
30,"Regione Valle D'Aosta",3,,
31,"Regione Basilicata",3,,
32,"Regione Abruzzo",3,,
33,"Regione Emilia Romagna",3,,
34,"Regione Trentino Alto Adige",3,,
35,"Regione Lombardia",3,,
36,"Regione Veneto",3,,
37,"Regione Molise",3,,
38,"Regione Calabria",3,,
39,"Regione Sicilia",3,,
40,"Regione Umbria",3,,
41,"Regione Lazio",3,,
42,"Regione Toscana",3,,
43,"Regione Sardegna",3,,
44,"Regione Marche",3,,
45,"Regione Friuli Venezia Giulia",3,,
46,"Regione Puglia",3,,
47,"Cassa Depositi e Prestiti",0,,
48,"Parco Nazionale Monte Sibillini",0,,
49,"Parco nazionale dolomiti bellunesi",0,,
66,"Ministro per i rapporti con le Regioni e per la coesione territoriale ",0,,
67,"CONFERENZA STATO-REGIONI",0,,
68,"PCM - COMMISSARIO DELEGATO EMERGENZA FIUME SARNO",0,,
69,"Dipartimento funzione pubblica",0,,
70,"Parco nazionale della Majella",0,,
71,"Rete ferroviaria italiana (RFI)",0,,
72,"ENAC",0,,
73,"Ministro coesione territoriale",0,,
74,"Dipartimento Affari Regionali",0,,
75,"Commissario delegato alla ricostruzione Presidente Regione Abruzzo",0,,
76,"Ministro per gli affari regionali, il turismo e lo sport",0,,
77,"Corte dei Conti",0,,
78,"Roma Capitale",0,,
79,"Comando Generale dell'Arma dei Carabinieri",0,,
80,"Parco nazionale dell'Asinara",0,,
81,"Ente parco nazionale La Maddalena",0,,
82,"Parco Nazionale Arcipelago Toscano",0,,
83,"Parco Nazionale Appennino Tosco-Emiliano",0,,
84,"Commissario straordinario del Porto di Taranto",0,,
85,"Provincia di Torino",0,,
