"Codice_Cipe","Data_Cipe","Progressivo_Cipe","Codice_Titolario","Numero_Fascicolo","Numero_SottoFascicolo","Codice_Registro","Codice_Registro2","Codice_Registro3","Codice_TipoArgomentoCipe","Codice_ArgomentoCipe","Numero_OdgCipe","Oggetto_Cipe","Codice_Ufficio","Codice_RisultanzaCipe","Codice_EsitoCipe","Codice_TipoEsitoCipe","Numero_Delibera","Annotazioni_Cipe"
41211,"2012-12-21 00:00:00",17,2,119,0,5306,,,0,35,"4C","Presa d’atto della relazione sullo stato degli interventi di completamento delle opere infrastrutturali ai sensi delle delibere CIPE nn. 52 e 135/1999 e definanziamento di interventi",,,4,9,150,""
41212,"2012-12-21 00:00:00",18,8,172,0,5219,5299,,0,4,"5A","Contratto di programma “Piceno Consind”: aggiornamento (delibere CIPE nn. 200 e 201/2006)",,,4,8,151,""
41213,"2012-12-21 00:00:00",19,8,206,0,5333,,,0,4,"5B","Contratto di programma “Gruppo SEDA Italy S.p.A.” (delibera CIPE n. 66/2011): modifica della copertura finanziaria",,,4,8,152,""
41214,"2012-12-21 00:00:00",20,8,84,0,5286,5287,,0,4,"5C","Contratto di programma ""Hypponium BIO Med S.c.a.r.l."": definanziamento (delibera CIPE 191/2006)",,,4,8,153,""
41215,"2012-12-21 00:00:00",21,6,8,0,5266,,,0,0,"6","Programma nazionale per l’approvvigionamento idrico in agricoltura e per lo sviluppo dell’irrigazione: intervento concernente la “Derivazione dal Fiume Belice dx e affluenti nel serbatoio Garcia – 1° lotto”, modifica del soggetto attuatore e relativa copertura finanziaria",,,4,8,154,""
41216,"2012-12-21 00:00:00",22,7,82,0,5161,,,0,21,"7A","Relazione per l’anno 2011 sullo stato di attuazione della politica di cooperazione allo sviluppo",,,4,8,155,""
41217,"2012-12-21 00:00:00",23,2,115,72,5334,,,0,21,"7B","Relazioni del Ministro dell’ambiente e della tutela del territorio e del mare sull’attuazione delle delibere CIPE n. 8  del 2012",,,4,13,0,""
41218,"2012-12-21 00:00:00",24,2,115,84,5335,,,0,21,"7B","Relazioni del Ministro dell’ambiente e della tutela del territorio e del mare sull’attuazione delle delibere CIPE n. 60 del 2012",,,4,13,0,""
41219,"2012-12-21 00:00:00",25,0,0,0,,,,0,41,"8A","Informativa del Ministro delle infrastrutture e dei trasporti sui prossimi adempimenti in materia di programmazione di settore",,0,4,10,0,"DOCUMENTO ORIGINALE NEL FASCICOLO DI SEDUTA"
41220,"2012-12-21 00:00:00",26,0,0,0,,,,0,41,"8B","Informativa del Ministro per la coesione territoriale sugli orientamenti comunitari per il periodo di programmazione 2014 – 2020",,0,4,10,0,""
41221,"2012-12-21 00:00:00",27,3,16,0,5281,,,0,41,"8C","Informativa del Ministro dell’ambiente concernente le linee strategiche per l’adattamento ai cambiamenti climatici, la gestione sostenibile e la messa in sicurezza del territorio",,,4,10,0,""
41222,"2012-12-21 00:00:00",28,2,115,92,5288,5327,,0,1,"9","Finanziamento di interventi per il ""miglioramento della salubrità ambientale"" nella regione Campania (FSC 2007-2013)",,,4,8,156,""
41477,"2013-03-08 00:00:00",2,11,340,0,5407,5408,,0,2,"1A)","Adeguamento tecnologico e infrastrutturale per l’incremento delle prestazioni e dell’affidabilità della linea ferroviaria Battipaglia – Reggio Calabria: approvazione progetto definitivo",,0,4,8,11,""
41478,"2013-03-08 00:00:00",4,11,53,0,0,,,0,2,"1B)","Quadrilatero Marche-Umbria: presa d’atto nuovo bando aree leader",,0,4,13,0,""
41479,"2013-03-08 00:00:00",5,11,436,0,5310,,,0,2,"1C)","Azienda Trasporti Milano (ATM): acquisto materiale rotabile per la metropolitana di Milano",,,4,8,12,""
41480,"2013-03-08 00:00:00",6,11,409,0,0,,,0,2,"1D)","Assegnazione programmatica ad Anas Spa delle risorse anticipate per gli Interventi nella laguna di Venezia (legge 228/2012 comma 188)",,0,4,8,13,""
41481,"2013-03-08 00:00:00",8,2,115,81,5427,,,0,0,"2","Fondo sviluppo e coesione (FSC): attuazione dell'art. 16, c.2, del D.L. n. 95/2012, convertito nella L. n. 135/2012 (riduzioni di spesa per le Regioni a statuto ordinario) e disposizioni per la disciplina di funzionamento del Fondo",,0,4,8,14,""
41482,"2013-03-08 00:00:00",9,8,148,0,5414,,,0,4,"3","Contratti di programma di competenza del Ministero dello sviluppo economico: definanziamento del Contratto di Programma “ALIMENTA Consorzio Agroalimentare Siciliano S.c. a r.l.”: comunicazione ai sensi dell’art. 29, comma 5, del decreto legge n. 83/2012, convertito con modificazioni nella legge n. 134/2012",,0,4,13,0,""
41483,"2013-03-08 00:00:00",10,12,131,0,5403,5405,5406,0,28,"4A)","FSN 2013 - Ripartizione dell’importo di 55.000.000 di euro destinato al finanziamento degli oneri connessi al completamento del processo di superamento degli ospedali psichiatrici giudiziari ai sensi dell’art. 3-ter, comma 7, del decreto legge n. 211/2011, convertito, con modificazioni, nella legge n. 9/2012",,0,4,8,15,""
41484,"2013-03-08 00:00:00",11,12,127,0,5404,,,0,28,"4B)","FSN 2013 - Ripartizione tra le regioni di una quota di 90.000.000 di euro finalizzata all’adeguamento degli impianti alla normativa antincendio (art. 6, comma 2, Decreto legge n. 158/2012 contenuto nella legge n. 158/2012, convertito dalla legge n. 189/2012) a valere sulle risorse stanziate dalla legge finanziaria 2010 (art. 2, comma 69 della legge 191/2009) a favore del programma nazionale straordinario di investimenti in sanità di cui all’art. 20 della legge n. 67/1988 e SS.MM.",,0,4,8,16,""
41485,"2013-03-08 00:00:00",12,3,10,0,5370,,,0,0,"5","Delibera recante aggiornamento del Piano di Azione Nazionale per la riduzione delle emissioni di gas serra",,0,4,8,17,""
