"Codice_Delibera","Data_Delibera","Numero_Delibera","Numero_Verbale","Codice_Settore","Codice_Tipologia","Finanziamento","Codice_Funzionario","Codice_Funzionario2","Codice_Funzionario3","Data_Consegna","Consegna_Scheda","Nota_Consegna","Codice_Direttore","Data_DirettoreInvio","Data_DirettoreRitorno","Nota_Direttore","Invio_Ragioneria","Data_RagioneriaInvio","Data_RagioneriaRitorno","Nota_Ragioneria","Invio_Mef","Data_MefInvio","Data_MefPec","Data_MefRitorno","Osservazioni_Mef","Nota_Mef","Codice_Segretario","Data_SegretarioInvio","Data_SegretarioRitorno","Nota_Segretario","Codice_Presidente","Data_PresidenteInvio","Data_PresidenteRitorno","Nota_Presidente","Codice_Ufficio","Codice_Ufficio2","Codice_Ufficio3","Codice_StatoDelibera","Argomento","Nota_CC","Tipo_DocumentoCC","Numero_InvioCC","Data_InvioCC","Numero_RilievoCC","Data_RilievoCC","Numero_RispostaCC","Data_RispostaCC","Tipo_Rilievo","Nota_RilievoCC","Tipo_DocumentoCC2","Numero_RilievoCC2","Data_RilievoCC2","Numero_RispostaCC2","Data_RispostaCC2","Tipo_Rilievo2","Nota_RilievoCC2","Tipo_DocumentoCC3","Numero_RilievoCC3","Data_RilievoCC3","Numero_RispostaCC3","Data_RispostaCC3","Tipo_Rilievo3","Nota_RilievoCC3","Data_ConferenzaStatoRegioni","Numero_ConferenzaStatoRegioni","Nota_ConferenzaStatoRegioni","File_ConferenzaStatoRegioni","A_Data_ConferenzaStatoRegioni","A_Numero_ConferenzaStatoRegioni","A_Nota_ConferenzaStatoRegioni","A_File_ConferenzaStatoRegioni","Data_ConferenzaUnificata","Numero_ConferenzaUnificata","Nota_ConferenzaUnificata","File_ConferenzaUnificata","A_Data_ConferenzaUnificata","A_Numero_ConferenzaUnificata","A_Nota_ConferenzaUnificata","A_File_ConferenzaUnificata","Data_CommissioneParlamentare","Numero_CommissioneParlamentare","Nota_CommissioneParlamentare","File_CommissioneParlamentare","A_Data_CommissioneParlamentare","A_Numero_CommissioneParlamentare","A_Nota_CommissioneParlamentare","A_File_CommissioneParlamentare","Data_Parlamento","Nota_Parlamento","File_Parlamento","Registro_RegistrazioneCC","Foglio_RegistrazioneCC","Data_RegistrazioneCC","Numero_InvioGU","Data_InvioGU","Tipo_GU","Numero_GU","Data_GU","Nota_GU","Numero_EC","Data_EC","Numero_Co","Data_Co","Allegato_1","Allegato_2","Allegato_3","Tipo_Registrazione","Tipo_Pubblicazione","Inviata_Ragioneria","Nota_Cipe","Nota_ServizioCipe","Giorni_RilievoCC","Giorni_RilievoCC2","Giorni_RilievoCC3"
35,"1998-03-17 00:00:00",35,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"FIO 89 Costa Verde Jonica",,,"7/3280","1998-04-07 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","147","1998-05-04 00:00:00",,,0,"113","1998-05-18 00:00:00",,,,,,,,,,,FALSE,,,,,
36,"1998-05-06 00:00:00",37,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Reg.Marche e Umbria Edilizia residenziale",,,"7/5179","1998-05-18 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","138","1998-06-12 00:00:00",,,0,"155","1998-07-06 00:00:00",,,,,,,,,,,FALSE,,,,,
37,"1998-05-06 00:00:00",38,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Conv. 3/90 - Rio Posada irrigaz. Capo Comino",,,"7/5212","1998-05-19 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","141","1998-06-12 00:00:00",,,0,"155","1998-07-06 00:00:00",,,,,,,,,,,FALSE,,,,,
38,"1998-05-06 00:00:00",39,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Conv. 158/90 - Ristrut. Museo Villa Arbusto",,,"7/5211","1998-05-19 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","282","1998-06-18 00:00:00",,,0,"155","1998-07-06 00:00:00",,,,,,,,,,,FALSE,,,,,
39,"1998-05-06 00:00:00",40,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Conv. 176/90 - Parco naturale area Fratta",,,"7/5210","1998-05-19 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","139","1998-06-12 00:00:00",,,0,"155","1998-07-06 00:00:00",,,,,,,,,,,FALSE,,,,,
40,"1998-05-06 00:00:00",41,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"CONV. 43/90 - Realiz. Opere Siniscola",,,"7/5213","1998-05-19 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","140","1998-06-12 00:00:00",,,0,"155","1998-07-06 00:00:00",,,,,,,,,,,FALSE,,,,,
41,"1998-05-06 00:00:00",36,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,0,,,,"Metanizzazione","",,"7/5282","1998-05-21 00:00:00","",,"",,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,0,,,"",,,,,"","",,3,0,FALSE,"",,,,
49,"1998-05-06 00:00:00",50,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.E. Obiettivo 1 Regione Siciliana",,,"7/6473","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","9","1998-07-01 00:00:00",,,0,"169","1998-07-22 00:00:00",,,,,,,,,,,FALSE,,,,,
50,"1998-05-06 00:00:00",51,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.E. Obiettivo 1-2-3-4 ",,,"7/6472","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","399","1998-07-01 00:00:00",,,0,"169","1998-07-22 00:00:00",,"238","1999-10-09 00:00:00",,,,,,,,FALSE,,,,,
51,"1998-05-06 00:00:00",55,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. 135/90 - AIDS assegnazione quote residue ",,,"7/6471","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","16","1998-07-03 00:00:00",,,0,"169","1998-07-22 00:00:00",,,,,,,,,,,FALSE,,,,,
