"Codice_PreCipe","Data_PreCipe","Progressivo_PreCipe","Codice_Titolario","Numero_Fascicolo","Numero_SottoFascicolo","Codice_Registro","Codice_Registro2","Codice_Registro3","Numero_OdgPreCipe","Progressivo_NumeroPreCipe","Codice_ArgomentoPreCipe","Oggetto_PreCipe","Codice_RisultanzaPreCipe","Nota_RisultanzaPreCipe","Codice_Ufficio","Numero_Delibera","Annotazioni_PreCipe"
1834,"2008-11-19 00:00:00",0,8,176,,,,,"0",0,0,"CONTRATTO DI PROGRAMMA INEOS VINYLS ITALIA",0,,0,0,
1835,"2002-07-30 00:00:00",0,9,5,,,,,"0",0,0,"PROGRAMMA DI EMERSIONE PROGRESSIVA PER I LAVORATORI SUBORDINATI",0,,0,0,
1836,"2003-05-07 00:00:00",0,9,7,,,,,"0",0,0,"PROGETTO MEDIATECA 2000 – 2°  FASE",0,,0,0,
1837,"2003-01-21 00:00:00",0,11,7,,,,,"0",0,0,"L. 641/96 -  INTERVENTI STRADE PROVINCIALI (DEL. 4/8/2000) - 2° PROPOSTA ",0,,0,0,
1838,"2002-07-30 00:00:00",0,11,10,,,,,"0",0,0,"RELAZIONE UVER SUGLI INVESTIMENTI PUBBLICI NELLE UNIVERSITA’ DELLA CALABRIA",0,,0,0,
1839,"2001-11-12 00:00:00",0,11,10,,,,,"0",0,0,"RELAZIONE UVER SUGLI INVESTIMENTI PUBBLICI NELLE UNIVERSITA’ DELLA CALABRIA",0,,0,0,
1840,"2001-11-12 00:00:00",0,11,11,,,,,"0",0,0,"PRESA D'ATTO PROSPETTO INFORMATIVO RETE FERROVIARIA",0,,0,0,
1841,"2001-11-12 00:00:00",0,11,12,,,,,"0",0,0,"RELAZIONE ATTUAZIONE CONTRATTO DI PROGRAMMA1994/2000 FS S.p.A.",0,,0,0,
1842,"2001-11-12 00:00:00",0,11,13,,,,,"0",0,0,"RELAZIONE UVER STATO ATTUAZIONE COMPLETAMENTO OPERE L. 208/98 - OPERE COMMISSARIATE",0,,0,0,
1843,"2002-07-30 00:00:00",0,11,14,,,,,"0",0,0,"PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",0,,0,0,
1844,"2001-11-12 00:00:00",0,11,14,,,,,"0",0,0,"PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",0,,0,0,
1845,"2001-12-17 00:00:00",0,11,14,,,,,"0",0,0,"PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",0,,0,0,
1846,"2002-02-12 00:00:00",0,11,14,,,,,"0",0,0,"PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",0,,0,0,
1847,"2002-03-19 00:00:00",0,11,14,,,,,"0",0,0,"PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",0,,0,0,
1848,"2002-06-11 00:00:00",0,11,14,,,,,"0",0,0,"PROROGHE COMPLETAMENTI E STUDI FATTIBILITA'",0,,0,0,
1849,"2001-11-12 00:00:00",0,11,15,,,,,"0",0,0,"PROGRAMMI TRIENNALI EX LEGE N. 109/1994 PARERE DI CONFORMITA'",0,,0,0,
1850,"2001-11-12 00:00:00",0,11,16,,,,,"0",0,0,"CONTRATTO DI PROGRAMMA FS 2001-2005 – PIANO DI PRIORITA’ DEGLI INVESTIMENTI",0,,0,0,
1851,"2001-12-17 00:00:00",0,11,16,,,,,"0",0,0,"CONTRATTO DI PROGRAMMA FS 2001-2005 – PIANO DI PRIORITA’ DEGLI INVESTIMENTI",0,,0,0,
1852,"2002-03-19 00:00:00",0,11,16,,,,,"0",0,0,"CONTRATTO DI PROGRAMMA FS 2001-2005 – PIANO DI PRIORITA’ DEGLI INVESTIMENTI",0,,0,0,
1853,"2001-11-12 00:00:00",0,11,17,,,,,"0",0,0,"L. 211/92 - TRASPORTO RAPIDO DI MASSA SAVONA ANCONA ROMA",0,,0,0,
1854,"2001-11-12 00:00:00",0,11,18,,,,,"0",0,0,"ELEVAZIONE LIMITI DI REDDITO PER L'EDILIZIA AGEVOLATA",0,,0,0,
1855,"2001-11-20 00:00:00",0,11,21,,,,,"0",0,0,"PRIMO PROGRAMMA INFRASTRUTTURE STRATEGICHE - ""LEGGE OBIETTIVO""",0,,0,0,
1856,"2001-11-17 00:00:00",0,11,21,,,,,"0",0,0,"PRIMO PROGRAMMA INFRASTRUTTURE STRATEGICHE - ""LEGGE OBIETTIVO""",0,,0,0,
1857,"2003-05-27 00:00:00",0,11,22,,,,,"0",0,0,"LEGGI AREE DEPRESSE: DEFINANZIAMENTI E UTILIZZO ECONOMIE",0,,0,0,
1858,"2001-11-17 00:00:00",0,11,22,,,,,"0",0,0,"LEGGI AREE DEPRESSE: DEFINANZIAMENTI E UTILIZZO ECONOMIE",0,,0,0,
1859,"2002-03-19 00:00:00",0,11,22,,,,,"0",0,0,"LEGGI AREE DEPRESSE: DEFINANZIAMENTI E UTILIZZO ECONOMIE",0,,0,0,
1860,"2002-06-11 00:00:00",0,11,22,,,,,"0",0,0,"LEGGI AREE DEPRESSE: DEFINANZIAMENTI E UTILIZZO ECONOMIE",0,,0,0,
1861,"2002-07-30 00:00:00",0,11,22,,,,,"0",0,0,"LEGGI AREE DEPRESSE: DEFINANZIAMENTI E UTILIZZO ECONOMIE",0,,0,0,
1862,"2003-03-05 00:00:00",0,11,22,,,,,"0",0,0,"LEGGI AREE DEPRESSE: DEFINANZIAMENTI E UTILIZZO ECONOMIE",0,,0,0,
1863,"2001-11-12 00:00:00",0,11,23,,,,,"0",0,0,"MODIFICHE E INTEGRAZIONI PRECEDENTI DELIBERE IN MATERIA DI INFRASTRUTTURE E TRASPORTI",0,,0,0,
1864,"2001-11-12 00:00:00",0,11,24,,,,,"0",0,0,"RIFINANZIAMENTO L 211/1992: PROROGA TERMINI PER LA CONSEGNA DEI LAVORI",0,,0,0,
1865,"2002-07-30 00:00:00",0,11,25,,,,,"0",0,0,"PIANO GENERALE DEI TRASPORTI E DELLA LOGISTICA – ADEMPIMENTI PREVISTI DALLA DELIBERA CIPE N.1/2001 (PROROGA SCADENZE)",0,,0,0,
1866,"2002-03-19 00:00:00",0,11,25,,,,,"0",0,0,"PIANO GENERALE DEI TRASPORTI E DELLA LOGISTICA – ADEMPIMENTI PREVISTI DALLA DELIBERA CIPE N.1/2001 (PROROGA SCADENZE)",0,,0,0,
1867,"2003-10-29 00:00:00",0,11,26,,,,,"0",0,0,"AGGIORNAMENTO ELENCO COMUNI ALTA TENSIONE ABITATIVA",0,,0,0,
1868,"2001-11-12 00:00:00",0,11,26,,,,,"0",0,0,"AGGIORNAMENTO ELENCO COMUNI ALTA TENSIONE ABITATIVA",0,,0,0,
