"Codice_SedutaCipe","Data_SedutaCipe","Giorno_SedutaCipe","Ora_SedutaCipe","Sede_SedutaCipe","Codice_Presidente","Codice_Segretario","Codice_Direttore","Ufficiale_SedutaCipe"
0,"2013-07-19 00:00:00",,"8.30","Sal Verde - Palazzo Chigi",75,78,77,0
0,"2013-08-02 00:00:00",,"9.30","SALA VERDE",75,78,77,0
0,"2013-08-08 00:00:00",,"","Palazzo Chigi - Sala Verde",75,78,77,0
0,"2013-09-09 00:00:00",,"10.30","Sala Verde",82,78,77,0
0,"2013-09-27 00:00:00",,"19,00","Sala Verde",82,78,77,0
0,"2013-11-08 00:00:00",,"9.30","Sala Verde",82,78,77,0
0,"2013-12-13 00:00:00",,"9.30","Palazzo Chigi - Sala del CdM",75,78,0,0
0,"2013-12-17 00:00:00",,"16.00","PCM - Sala Verde",75,78,0,0
0,"2014-02-06 00:00:00",,"10.45","Sala Verde ",75,85,0,0
0,"2014-02-14 00:00:00",,"11,00","Palazzo Chigi - Sala Verde",75,78,0,0
0,"2014-04-18 00:00:00",,"15.00","Palazzo Chigi - Sala Verde",86,94,93,0
0,"2008-01-31 00:00:00",,"","",0,0,0,1
0,"2007-11-09 00:00:00",,"","",0,0,0,1
0,"2007-08-03 00:00:00",,"","",0,0,0,1
0,"2007-07-20 00:00:00",,"","",0,0,0,1
0,"2002-11-29 00:00:00",,"","",0,0,0,1
0,"2003-09-29 00:00:00",,"","",0,0,0,1
0,"2004-09-29 00:00:00",,"","",0,0,0,1
0,"2004-12-20 00:00:00",,"","",0,0,0,1
0,"2006-03-29 00:00:00",,"","",0,0,0,1
0,"2014-06-30 00:00:00",,"16.00","PCM - Sala Verde",0,96,93,0
0,"2014-08-01 00:00:00",,"10.30","SALA VERDE",86,96,93,0
0,"2014-10-30 00:00:00",,"16.45","Sala Verde",86,96,93,0
0,"2014-11-10 00:00:00",,"20.05","Sala Verde",86,96,93,0
0,"2015-01-28 00:00:00",,"12.30","Sala Verde",100,96,93,0
0,"2015-02-20 00:00:00",,"18.00","Sala Verde",86,96,93,0
0,"2015-04-10 00:00:00",,"10.00","Sala Verde",0,0,0,0
0,"2015-04-29 00:00:00",,"19.14","Sala Verde",86,96,93,0
0,"2015-08-06 00:00:00",,"18.56","Sala Verde - Palazzo Chigi",86,96,93,0
0,"2015-11-06 00:00:00",,"","Palazzo Chigi",86,96,93,0
0,"2015-12-23 00:00:00",,"19.00","Sala Verde - Palazzo Chigi",86,96,93,0
0,"2016-05-01 00:00:00",,"12.00","Sala Verde - Palazzo Chigi",86,96,93,0
0,"2016-08-10 00:00:00",,"","",0,0,0,0
0,"2016-11-09 00:00:00",,"","Sala Consiglio Ministri Palazzo Chigi",100,113,93,0
0,"2016-12-01 00:00:00",,"15,00","Sala Verde - Palazzo Chigi",100,96,93,0
0,"2017-01-19 00:00:00",,"19.00","Sala Verde",100,114,93,0
0,"2017-03-03 00:00:00",,"12.00","",116,96,93,0
0,"2010-05-20 00:00:00",,"15.00","Palazzo Chigi, Sala Verde",14,6,0,
0,"2010-07-22 00:00:00",,"9.00","Palazzo Chigi, Sala Verde",5,6,7,
0,"2010-07-30 00:00:00",,"8.30","Palazzo Chigi, Sala Verde",5,6,7,
1,"2008-04-02 00:00:00","venerdi","8.30","Sala Verde di Palazzo Chigi",,,,
0,"2010-01-22 00:00:00",,"8,45","Sala Verde di Palazzo Chigi",5,6,7,
0,"2009-05-08 00:00:00",,"","",0,0,0,
0,"2009-12-17 00:00:00",,"","",0,0,0,
0,"2009-11-06 00:00:00",,"","",0,0,0,
0,"2010-05-13 00:00:00",,"9.00","Palazzo Chigi, Sala Verde",14,6,7,
0,"2010-11-18 00:00:00",,"8,30","PALAZZO CHIGI",5,6,7,
0,"2010-11-26 00:00:00",,"11.30","PALAZZO CHIGI - SALA VERDE",5,6,7,
0,"2011-01-11 00:00:00",,"18,00","Sala Consiglio dei Ministri",14,46,7,
0,"2011-03-23 00:00:00",,"11.30","SALA VERDE",14,6,7,
0,"2011-05-05 00:00:00",,"8.30","Palazzo Chigi - Sala Verde",5,6,7,
0,"2011-08-03 00:00:00",,"9.00","SALA VERDE",5,6,7,
0,"2011-09-30 00:00:00",,"9.00","Sala Verde - Palazzo Chigi",14,37,7,
0,"2011-10-13 00:00:00",,"9.00","Palazzo Chigi",5,6,7,
0,"2011-12-06 00:00:00",,"9.00","Palazzo Chigi, Sala Verde",53,54,7,
0,"2012-01-20 00:00:00",,"9.00","Sala Verde",53,54,7,
0,"2012-03-23 00:00:00",,"10.00","Palazzo Chigi - Sala Verde",53,54,7,
0,"2012-04-30 00:00:00",,"14.00","Palazzo Chigi, Sala Verde",53,54,7,
0,"2012-07-11 00:00:00",,"14.30","SALA VERDE",53,54,7,
0,"2012-08-03 00:00:00",,"9.00","Palazzo Chigi - Sala Verde",53,54,7,
0,"2012-10-26 00:00:00",,"9.00","Sala Verde",53,54,7,0
0,"2012-12-11 00:00:00",,"15.00","Sala Verde",53,54,7,0
0,"2012-12-21 00:00:00",,"9.00","Sala Verde",53,54,7,0
0,"2013-02-18 00:00:00",,"9.30","Sala Verde",53,54,7,0
0,"2013-03-08 00:00:00",,"9.30","Sala Verde",53,54,7,0
0,"2013-03-18 00:00:00",,"9.30","Sala Verde",53,54,7,0
0,"2013-03-21 00:00:00",,"","Sala Consiglio dei Ministri",71,72,7,0
0,"2013-05-31 00:00:00",,"10.15","Palazzo Chigi - Sala Verde",75,76,77,0
