"Numero_SottoFascicolo","Codice_Titolario","Numero_Fascicolo","Codice_Progressivo","Descrizione_SottoFascicolo"
40,11,298,0,"00-GENERALE"
42,11,298,3,"03-linea M2"
43,11,298,4,"04-linea M3"
44,2,78,20,"19-rifiuti Campania 400 MEURO"
45,11,351,1,"00-GENERALE"
46,11,351,19,"18-RFI"
47,11,351,20,"19-ANAS"
48,11,351,21,"20-SCUOLA EUROPEA VARESE (ISPRA)"
49,2,78,21,"20-ASSEGNAZIONE MEURO 100 AMBIENTE"
19,2,78,15,"14-Regione Molise"
20,2,78,16,"15-RI.MED"
21,2,78,17,"16-accordi di programma"
1,11,351,2,"01-Scuola Europea Parma"
2,11,351,3,"02-Aranciaia"
3,11,351,4,"03-Edilizia Scolastica Abruzzo"
4,11,351,5,"04-Lacuale"
5,11,351,6,"05-Università Abruzzo"
6,2,78,2,"01-sisma abruzzo"
7,2,78,3,"02-crisi fiat"
8,2,78,4,"03-M.ro interno vari progetti"
9,2,78,5,"04-invitalia-ISA"
10,2,78,6,"05-PON GOVERNANCE"
11,2,78,7,"06-cittadinanza digitale"
12,2,78,8,"07-banda larga"
13,2,78,9,"08-progetto cultura"
14,2,78,10,"09-ripresa produttiva abruzzo"
15,2,78,11,"10-siti inquinati"
16,2,78,12,"11-rifiuti palermo e area libero scambio"
17,2,78,13,"12-progetti ricerca ASI-INFN"
18,2,78,14,"13-M.ro Ambiente vari progetti"
23,11,351,7,"06-Cons. Bonifica Montana Gargano"
24,11,351,8,"07-edilizia carceraria"
25,11,351,9,"08-salvaguardia laguna Venezia"
26,11,351,10,"09-ferrovie sud-est passaggi a livello"
27,11,351,11,"10-ferrovie sud-est inquinamento acustico"
28,11,351,12,"11-edifici pubblici L'Aquila"
29,11,298,1,"01-linea M4"
30,11,298,2,"02-linea M5"
31,11,351,13,"12-opere minori"
32,11,351,14,"13-porto Pozzuoli"
33,11,351,15,"14-aeroporto Falcone-Borsellino"
34,11,351,16,"15-ferrovie SUD-EST"
35,11,351,17,"16-Min. ambiente dissesto idrogeologico"
36,2,78,1,"00-Generale"
37,2,78,18,"17-Olbia Sassari"
38,11,351,18,"17-Edilizia Scolastica"
39,2,78,19,"18-zone franche urbane Abruzzo"
50,11,351,22,"21-riparto settore agricolo"
51,2,78,22,"21-celebrazione unità nazionale"
52,11,333,0,"00-GENERALE"
53,11,333,1,"01-Basilicata"
54,11,333,2,"02-Campania"
55,11,333,3,"03-Emilia-R."
56,11,333,4,"04-Liguria"
57,11,333,5,"05-Lombardia"
58,11,333,6,"06-Molise"
59,11,333,7,"07-Piemonte"
60,11,333,8,"08-Puglia"
61,11,333,9,"09-Sardegna"
62,11,333,10,"10-Sicilia"
63,11,333,11,"11-Toscana"
64,11,333,12,"12-PA Trento"
65,11,333,13,"13-Umbria"
66,11,333,14,"14-Veneto"
67,11,333,15,"15-Marche"
68,11,333,16,"16-Calabria"
70,11,333,17,"17-Abruzzo"
71,11,333,18,"18-Lazio"
72,2,115,2,"01-dissesto idrogeologico Frane e versanti"
73,2,115,3,"02-INVITALIA"
74,2,115,4,"03-Piano Carceri"
76,2,115,5,"04-MIBAC poli museali"
77,2,115,6,"05-revoche"
78,2,115,7,"06-riprogrammazioni"
79,2,115,8,"07-ISMEA"
81,2,115,1,"00-generale"
82,2,115,9,"08-PAIN - Programma attuativo interregionale"
83,2,115,10,"09-convenzione MISE-ENEA"
84,2,115,11,"10-DEPURAZIONE ACQUE E BONIFICA DISCARICHE"
85,2,115,12,"11-Riserva premiale per obiettivi di servizio"
86,11,333,19,"19-Friuli Venezia Giulia"
87,11,333,20,"20-VALLE D'AOSTA"
88,11,333,21,"21-P.A. BOLZANO"
89,2,115,13,"12-Settore ambiente - manutenzione territorio"
90,2,115,14,"13-Programmazione Regione Basilicata"
91,2,115,15,"14-Programmazione Regione Calabria"
92,2,115,16,"15-Programmazione Regione Campania"
93,2,115,17,"16-Programmazione Regione Molise"
94,2,115,18,"17-Programmazione Regione Puglia"
95,2,115,19,"18-Programmazione Regione Sardegna"
96,2,115,20,"19-Programmazione Regione Sicilia"
97,2,115,21,"20-Programmazione Regione Umbria"
98,2,115,22,"21-Piano di azione coesione"
99,2,115,23,"22-bonifica riqualificazione Taranto"
100,2,115,24,"23-Programmazione Regione Marche"
101,2,115,25,"24-Programmazione Regione Liguria"
103,2,115,26,"25-assegnazioni MIUR-MISE"
104,2,115,27,"26-Programmazione Regione Toscana"
105,2,115,28,"27-POMPEI"
106,12,50,1,"00-FSN 2004 ob. prioritari PSN 2003-2005"
107,12,50,2,"01-PROG. MATTONE INTERNAZIONALE"
108,12,50,3,"02-Indagine multiscopo ISTAT sulla salute"
109,12,50,4,"03-Prog. It-DRG"
110,12,108,1,"00-FSN 2011 quote vincolate PSN"
111,12,108,2,"01-Prog. Portale trasparenza serv. salute"
112,2,115,29,"28-Programmazione Regione Valle d'Aosta"
113,2,115,30,"29-P.A.P. della P.a. di  Trento"
114,12,108,3,"02-ricerca diossina"
115,12,140,1,"00-SSN 2013"
116,12,140,2,"01-medicina penitenziaria SSN 2013"
117,11,473,1,"01 - AP Venezia"
118,11,473,2,"02 - AP Marina di Carrara"
119,2,115,31,"30-EXPO 2015"
120,2,115,32,"31-edilizia scolastica"
121,2,115,33,"32-Istituti studi storici e filosofici"
122,2,115,34,"33-APQ Sito di Intresse Nazionale Fidenza"
123,2,116,1,"01 - Partenariato"
124,2,116,2,"02 - Rifinanziamento contratti sviluppo"
126,11,473,0,"00-Parte generale"
127,2,115,35,"34-Ristrutturazione debito Regione Veneto"
128,11,473,3,"03 - AP Genova-Trieste-La Spezia"
129,2,115,36,"35-Porti di Bari"
130,2,116,3,"03 Toscana industria audiovisiva"
131,2,116,4,"04-Area di Taranto"
132,2,146,1,"01 Ministero dell'interno"
133,2,116,0,"00-Riparto generale"
134,2,146,2,"02 Ministero delle infrastrutture e dei trasporti"
